Atlanten	اقیانوس اطلس
symfoni|symfonien|symfonier|symfonin	هماهنگی، سمفونی
symfoniker|symfonikern	نوازنده ارکستر سمفونی
symfoniorkester|symfoniorkestern|symfoniorkestrar	ارکستر سمفونی
symfonisk|symfoniskt	هم آهنگ، سمفونیک
symmetri|symmetrien|symmetrin	تشابه، قرینه، همسازی، نقارن، ‌تناسخ
symmetrin	تشابه، قرینه، همسازی، نقارن، ‌تناسخ
symmetrisk|symmetriskt	قابل تقسیم به دو فرم مختلف، برابر، متناسب، متوازن، متقارن
sympatetisk|sympatetiskt	کیمیاگر
sympatetiskt bläck|sympatetisk|sympatetiskt	مرکبی که اثر آن روی کاغذ وقت گرم کردن معلوم میشود
sympati|sympatien|sympatier|sympatin	همفکری، دلسوزی، همدردی
sympatisera|sympatiserade|sympatiserar|sympatiserat	همفکر بودن، غمخواری کردن، همدردی کردن، همدردی کردن
sympatisk|sympatiskt	1. با صفا، پسندیده، 2. همفکر، دلسوز، همدرد، 3. مربوط به دستگاه عصبی سمپاتیک
sympatistrejk|sympatistrejken|sympatistrejker	اعتصاب به نشان همدردی
sympatisör|sympatisören|sympatisörer	هوادار، شخص همدرد
symposium|symposier|symposiet	ضیافت علمی (سمپوزیم)
symptom	علامت تظاهری عملی یا عضوی بیمار که خود مریض از آن آگاه بوده و شکایت دارد
symptomatisk|symptomatiskt	1. علامتی، نشانه ای، 2. حاکی از (چیزی)
syn|syne|synen|syner|synes	1. نظر، عقیده، 2. قدرت دیدن، دید، بینائی، 3. خیال، منظر، تجسم، 4. چشم رس، نظر، 5. رخ، چهره، 6. صورت ظاهر، 7. معاینه، بازرسی
syn och hörsel|hörsel|syn	بینائی و شنوائی
syna synar synade synat|syna|synade|synar|synat	برانداز کردن، دقیقا رسیدگی کردن، معاینه کردن، بازرسی کردن
synagoga|synagogan|synagogor	عبادتگاه یهود، کنیسا
synande|synanden|synandet	بازبینی، رسیدگی
synare|synaren|synarn|synarna	بازرس
synas syns syntes syntes|synas|syns|syntes|synts	آشکار شدن، نمایان شدن یا بودن
synas syntes synts|synas|syntes|synts	1. به نظر آمدن، به نظر رسیدن، 2. ظاهر شدن، نمایان شدن
synbar|synbart	1. ظاهر، آشکار، پیدا، 2. نمایان، قابل دید
synbarlig|synbarligt	هویدا، پیدا
synbarligen	آشکارا
synbild|synbilden|synbilder	تصویری از یک شئی در چشم
syncentrum	بینائی مرکزی
synd|synden|synder	1. خلاف، تخلف، 2. گناه
synda eller bryta mot reglerna|synda	بر خلاف مقررات رفتار کردن
synda syndar syndade syndat|synda|syndade|syndar|syndat	تخلف کردن، گناه کردن
syndabekännelse|syndabekännelsen|syndabekännelser	اعتراف به گناه در کلیسا
syndabock|syndabockar|syndabocken	کسی که قربانی گناه دیگران یا چیزی می شود
syndaflod|syndafloden|syndafloder	سیل، باران مداوم
syndaförlåtelse	آمرزش گناه
syndapengar	پولهای نامشروع یا حرام
syndare|syndaren|syndarn|syndarna	آدم متخلف یا گناهکار
syndaregister	فهرست تخلفات
syndastraff	1. مجازات گناهان، 2. شکنجه، تنبیه
synderska|synderskan|synderskor	زن خطاکار
syndetikon|syndetikonet	یکنوع چسب است
syndfri|syndfritt	بیگناه، عاری از گناه
syndfrihet	بیگناهی
syndfull|syndfullt	گناهکار
syndfullhet	گناهکاری، خطا
syndig|syndigt	گناهکار
syndighet|syndigheten	گناهکاری، خلاف، بدی
syndikalism|syndikalismen	پیروی از از اصول اتحادیه صنفی
syndikalist|syndikalisten|syndikalister	طرفدار اتحادیه صنفی
syndikalistisk|syndikalistiskt	مربوط به اتحادیه صنفی
syndikat|syndikaten|syndikatet	سندیکا، اتحادیه صنفی
syndrom|syndromen|syndromet	علائم مشخصه بیماری
syneförrättare	بازرس
syneförrättning	رسیدگی، بازرسی
synfel	خطای دید
synfält|synfälten|synfältet	میدان دید چشمها
synförmåga	توانایی دید
synförnimmelse	حس تشخیص چشمها
synglas	عدسی، درجه شیشه
synhög	قسمت بزرگی از نیمکره مغز
synkop|synkopen|synkoper	کوتاه سازی واژه بوسیله حذف بخشی از میان آن
synkope|synkopen	لغت یا هجای حذف شده از کلمه
synkopera|synkoperade|synkoperar|synkoperat	با مکث یا حذف آهنگی را تغییر دادن
synkretism|synkretismen	اعتقاد به توحید عقاید گوناگون
synkrets	1. میدان دید، حدود دید شخص، 2. مدار افق
synkron|synkront	همزمان، معاصر
synkronisera|synkroniserade|synkroniserar|synkroniserat	همزمان کردن، یکنواخت کردن
synkronisering	همزمانی، تقارن
synkronisk|synkroniskt	همزمان، معاصر
synkronism|synkronismen	همزمانی، تقارن
synkronur	ساعت دارای موتور همزمان
synlig|synligt	آشکار، نمایان
synliggjorde|synliggjort|synliggör|synliggöra	نمایان ساختن
synlinje	خط دید چشم (از چشم تا شئی)
synminne	حافظه نگهداری و بخاطر داشتن تصاویر
synnedsättning	کاهش بینائی
synnerlig|synnerligt	1. مخصوص، ویژه، مشخص، 2. استثنائی، منحصر بفرد
synnerliga skäl|synnerlig	دلایل ویژه
synnerligen	1. مخصوصا، بویژه، 2. بسیار زیاد، بغایت
synnerv	عصب بینائی
synod|synoden|synoder	شورای کلیسائی
synonym	لفظ یا واژه مترادف، مترادف، هم معنی
synonymen|synonymer	لفظ یا واژه مترادف
synonymik|synonymiken	علم ترادف در یک زبان
synonymt	مترادف، هم معنی
synops|synopsen|synopser|synopsis	اجمال
synoptik	علم هواشناسی
synoptisk|synoptiskt	اجمالی
synoptisk karta|synoptisk	نقشه جهانی، جهان نما
synorgan	عضو بینائی
synovia	، سینویا (مایع زلالی): ، مایع شفاف و چسبنده ایکه بوسیله پرده سینوبال ترشح شده و در حفرات مفصلی، بورسها و پوششهای تاندونی یافت میشود
synovial|synovialt	مربوط به غشاء زلالی
synovium	پرده سینویال، غشاء زلالی
synpunkt|synpunkten|synpunkter	1. نظر، عقیده، 2. نقطه نظر
synrand|synranden	دید شخص، افق فکری، بینش
synrubbning	بی نظمی دید چشمها، اختلال بینائی
synsinne	بینایی، حس باصره
synsk|synskt	روشن بین، بصیر، باطن بین
synskadad|synskadat	کور، نابینا
synskärpa	برد بینایی، تیزی چشم
synsvag|synsvagt	دارای دید ضعیف
synsätt|synsätten|synsättet	بینش معنوی، طرز فکر
syntaktisk|syntaktiskt	طبق قواعد صرف و نحو
syntax|syntaxen|syntaxer	، 1. علم نحو، ساختمان جمله، 2. جمله نویسی
syntes	1. سنتز :برنهاد، هم نهاد، 2. ساختن شبیه یک ماده طبیعی از عناصر ترکیب کننده آن در آزمایشگاه بطور مصنوعی، 3. ترکیب، تلقین
syntet	مصنوعی
syntetfiber|syntetfibern|syntetfibrer	فیبر مصنوعی
syntetfibrer	فیبر مصنوعی
syntetisk|syntetiskt	1. مرکب (از راه شیمیایی)، 2. مصنوعی، ساختگی
synundersökning	معاینه دید چشم
synvidd	1. بُرد دید چشم، 2. نمایانی
synvilla|synvillan|synvillor	1. تصویر غلط، 2. خطای بینایی
synvinkel|synvinkeln|synvinklar	1. نقطه نظر، 2. زاویه دید
synvård	خدمات بهداشتی چشم
synål|synålar|synålen	سوزن دوزندگی
syo	تحصیل و مبحث آشنائی با کار (راهنمائی شغلی) در مقاطع راهنمائی و دبیرستان
syokonsulent|syokonsulenten|syokonsulenter	، مشاور تحصیلی: ، کارمند مستقر در مدارس ابتدائی که وظیفه او مشورت با دانش آموزان و پدر و مادر آنها در مورد گزینش رشته تحصیلی است
syra	1. خمیر مایه زدن، 2. ترش کردن، 1. ترشک، 2. اسید، 3. ترشی
syra syrar syrade syrat|syra|syrade|syrar|syrat	1. خمیر مایه زدن، 2. ترش کردن
syrabeständig|syrabeständigt	ضد ترشی (اسید)
syrafast	ضد اسید، مقاوم در مقابل اسید
syran|syror	1. ترشک، 2. اسید، 3. ترشی
syrande	ترش ساز، ترش کننده
syraprovare|syraprovaren	اسید سنج (برای اسید باطری)
syre|syret	اکسیژن
syrebrist	کمبود اکسیژن
syrefattig|syrefattigt	کم اکسیژن
syrehalt	غلظت اکسیژن
syrehaltig|syrehaltigt	دارای غلظت اکسیژن
syren	یاس بنفش
syrerik|syrerikt	پُر اکسیژن
syrgas|syrgasen	گاز اکسیژن
syrgasbehållare	کپسول گاز
syrier|syriern	اهل سوریه
syrisk|syriskt	مربوط به سوریه، سوری
syriska|syriskan|syriskor	زن سوری، زبان سوری
syrlig|syrligt	1. بد خلق، ترش رو، 2. اسیدی، ترش
syrlighet	ترشروئی
syrra|syrran|syrror	آبجی، خواهر
syrsa	جیرجیرک
syrsan|syrsor	جیرجیرک
syrsatt	اکسیژن دار
syrsatt|syrsatte|syrsätta|syrsätter	با اکسیژن اشباع کردن، وارد اکسیژن کردن، اکسیده کردن
syrén|syren|syrenen|syrener|syrénen|syréner	یاس بنفش
sysaker	لوازم دوزندگی
syskon|syskonen|syskonet	خواهر یا برادر، خواهر و بردار
syskonbarn	خواهر یا برادر زاده
syskontycke	شباهت خانوادگی
syslöjd	دوزندگی
sysselsatt	1. مشغول (کار)، 2. در استخدام، کارمند
sysselsätta sig med|sysselsätta	کاری را بعهده گرفتن
sysselsatt|sysselsatte|sysselsätta|sysselsätter	1. خود را مشغول کردن، 2. کار دادن، مشغول کردن، 3. بکار گماشتن، استخدام کردن
sysselsättning|sysselsättningar|sysselsättningen	1. اشتغال کامل، 2. حرفه، اشتغال، کار
syssla	1. فعالیت، کار، 2. دادو ستد، بازرگانی، کار، 3. مقام، شغل، مشغول بودن
syssla sysslar sysslade sysslat|syssla|sysslade|sysslar|sysslat	مشغول بودن
sysslan|sysslor	1. فعالیت، کار، 2. دادو ستد، بازرگانی، کار، 3. مقام، شغل
sysslande|sysslandet	اشتغال
syssling|sysslingar|sysslingen	پسر یا دختر پسر دائی، دختر دائی و غیره
sysslolös|sysslolöst	1. بیکار، 2. ولگرد، غیر فعال، تنبل
sysslolöshet	تنبلی، بیکاری
syssloman|sysslomannen|sysslomän|sysslomännen	1. کاردار، 2. کارمند امور مالی بیمارستان
system|systemen|systemet	، 1.شبکه، 2. نظام، شیوه، روش، 3. سلسله، جهاز، مجموعه، 4. تشکیلات، سازمان، 5. عرق فروشی، فروشگاه مشروبات الکلی
systemanalys|systemanalysen	تجزیه و تحلیل نظامها
systemare	شخص برنامه ریز
systematik|systematiken	علم رده بندی
systematiker	متخصص قاعده سازی و طبقه بندی
systematisera|systematiserade|systematiserar|systematiserat	دارای روش یا قاعده کردن، تنظیم کردن، ترتیب دادن، اسلوب دادن
systematisering	با قاعده سازی
systematisk|systematiskt	دستگاه، مبنی بر روش معینی، منظم، دارای قاعده
systembolag|systembolagen|systembolaget	شرکت دولتی فروش مشروبات الکلی
systembutik|systembutiken|systembutiker	فروشگاه رسمی فروش مشروبات الکلی
systemera|systemerade|systemerar|systemerat	برنامه ریزی کردن
systemerare|systemeraren|systemerarn|systemerarna	شخص برنامه ریز
systemman|systemmannen|systemmän|systemmännen	کارمند برنامه ریز
syster|systern|systrar	1. پرستار، 2. خواهر
systerbarn|systerbarnen|systerbarnet	خواهر زاده
systerfartyg|systerfartygen|systerfartyget	کشتی که شبیه کشتی دیگر باشد
systerkärlek|systerkärlekar|systerkärleken	عشق خواهری
systerlig|systerligt	خواهرانه
systole	، سیستول: ، انقباض یا دوره های انقباضی قلب بخصوص انقباض بطنها
systuga|systugan|systugor	دوزندگی
sytråd|sytrådar|sytråden	نخ دوزندگی
säck|säckar|säcken	گونی، کیسه
säcka ihop|säcka	درهم فرو ریختن، متلاشی شدن
säcka säckar säckade säckat|säcka|säckade|säckar|säckat	کیسه ای بودن
säckband	نخ کیسه ای
säckformig|säckformigt	کیسه ای
säckgata|säckgatan|säckgator	خیابان بُن بست
säckig|säckigt	کیسه ای
säckiga kläder|säckig|säckigt	لباسهای کیسه ای
säcklöpning|säcklöpningen	مسابقه دو در حالیکه پای مسابقه دهنده در کیسه ای پیچیده شده است
säckpipa	نی انبان
säckpipan|säckpipor	نی انبان
säckstation|säckstationen|säckstationer	ایستگاه آخر، آخرین ایستگاه
säckvis	کیسه کیسه
säckväv|säckväven	کرباس
säd|säden	1. بذر، تخم، 2. غله، دانه، 3. نطفه، منی (اسپرماتوزوئید)، 4. محصول، حاصل، 5. تولید مثل، تخم آوری
säde|säden|sädet	بذر افشانی
sädesblåsa|sädesblåsan|sädesblåsor	کیسه نطفه
sädescell|sädescellen|sädesceller	سلول منی، سلول نطفه مرد
sädesfält|sädesfälten|sädesfältet	مزرعه غلّه
sädesharpa|sädesharpan|sädesharpor	ماشین پاک کردن حبوبات، ماشین بوجار
sädeskorn|sädeskornen|sädeskornet	دانه غله
sädeskärve|sädeskärvar|sädeskärven	خرمن غله
sädesledare|sädesledaren|sädesledarn|sädesledarna	مجرای دابران منی: لوله ای است که منی را از بیضه به مجرای انزالی میرساند
sädesmagasin|sädesmagasinen|sädesmagasinet	انبار غلّه
sädesskyl|sädesskylar|sädesskylen	دسته (انبوه) غلّه
sädesslag|sädesslagen|sädesslaget	نوع غلّه
sädessten|sädesstenar|sädesstenen	آلومینیوم سیلیکات آبدار منگنز به شکل صابون نرم
sädesvätska|sädesvätskan|sädesvätskor	آب منی
sädesärla	دُم جنبانک
sädesärlan|sädesärlor	دم جُنبانک
sädesöverföring	باروری مصنوعی
sädgivare|sädgivaren|sädgivarn|sädgivarna	منی دهنده
säg	بگو، بیان کن
säg stopp|stopp	بگو بس است
säga ifrån|säga	اظهار نظر قطعی کردن
säga om|säga	1. درباره  ...گفتن 2. تکرار کردن
säga sa eller sade sagt|sa|sade|sagt|säga	حرف زدن، بیان کردن، اظهار داشتن، گفتن، رسانیدن، معنی دادن
säga till|säga	دستور دادن، امر کردن
säga upp|säga	1. آگاهی دادن، خبر دادن 2. باطل کردن، فسخ کردن 3. مطالبه کردن، برگرداندن 4. اخراج کردن، بیرون کردن
säga ut|säga	درد دل کردن
sa|sade|sagt|säga|säger|säja|säjer	1. حرف زدن، بیان کردن، اظهار داشتن، گفتن، 2. رسانیدن، معنی دادن
sägas sades sagts|sades|sagts|sägas	گفته شدن
sägen|sägnen|sägner	داستانی که سینه به سینه منقل شده، افسانه
sägenomspunnen|sägenomspunna|sägenomspunnet	افسانه ای، افسانه وار
säker|säkert|säkra|säkrare	1. بی خطر، در امان، امن، 2. مسلم، مطمئن، حتمی، 3. خطا ناپذیر، لغزش ناپذیر، مصون از خطا
säkerhet|säkerheten|säkerheter	1. امانت، گرو، امانت، ودیعه، اطمینان، تضمین، 2. امنیت، اطمینان خاطر، 3. مهارت، استادی، هوشیاری
säkerhetsbestämmelse|säkerhetsbestämmelsen|säkerhetsbestämmelser	آئین نامه جلوگیری از خطر
säkerhetsbälte|säkerhetsbälten|säkerhetsbältet	کمر بند ایمنی (نجات)
säkerhetsfaktor|säkerhetsfaktorer|säkerhetsfaktorn	ضریب اطمینان
säkerhetsföreskrift|säkerhetsföreskriften|säkerhetsföreskrifter	آئین نامه جلوگیری از خطر
säkerhetsklaff|säkerhetsklaffar|säkerhetsklaffen	شیر اطمینان، دریچه اطمینان
säkerhetskänsla|säkerhetskänslan|säkerhetskänslor	امنیت خاطر
säkerhetslina|säkerhetslinan|säkerhetslinor	طناب نجات
säkerhetslås|säkerhetslåsen|säkerhetslåset	قفل ایمنی
säkerhetsnål|säkerhetsnålar|säkerhetsnålen	سنجاق قفلی
säkerhetspolis|säkerhetspolisen|säkerhetspoliser	پلیس ایمنی
säkerhetspropp|säkerhetsproppar|säkerhetsproppen	فیوز ایمنی
säkerhetsrisk|säkerhetsrisken|säkerhetsrisker	مخاطره امنیتی
säkerhetsråd|säkerhetsrådet	شورای امنیت
säkerhetsskäl|säkerhetsskälen|säkerhetsskälet	دلایل ایمنی
säkerhetsspärr|säkerhetsspärrar|säkerhetsspärren	ضامن تفنگ
säkerhetstjänst|säkerhetstjänsten|säkerhetstjänster	سازمان امنیتی (جاسوسی)
säkerhetsventil|säkerhetsventilen|säkerhetsventiler	دریچه (سوپاپ) اطمینان
säkerhetsåtgärd|säkerhetsåtgärden|säkerhetsåtgärder	اقدام ایمنی
säkerligen	مطمئنا، یقینا، حتما
säkerställa|säkerställde|säkerställer|säkerställt	ضمانت کردن، تضمین کردن، تامین کردن، محکم نگهداشتن
säkert	مطمئنا، حتما، بدون شک
säkra sig en plats i historien|säkra	جائی در تاریخ برای خود حفظ کردن
säkra säkrar säkrade säkrat|säkra|säkrade|säkrar|säkrat	1. محفوظ داشتن، اطمینان دادن، تانین کردن، 2. ضمانت کردن، تضمین کردن، 3. چخماق را در حال نیم پا گذاشتن، 4. بستن، قفل کردن، 5. از خود حمایت کردن
säkra tillgången på råvaror|säkra	دستیابی بمواد اولیه را مطمئن کردن
säkring|säkringar|säkringen	1. ضامن، 2. فیوز
säl	شیر آبی یا خوک دریائی
säldjur|säldjuren|säldjuret	راسته فرعی پستانداران گوشتخوار آبزی از قبیل شیر دریائی، فک و غیره
sälen|sälar	شیر آبی یا خوک دریائی
sälfångst	شکار خوک دریائی
sälg|sälgar|sälgen	نوعی شاخه درخت تزئین شده با پرهای رنگ شده، ترکه بید
sälja säljer sålde sålt|sälja|säljer|sålde|sålt	1. جهت فروش عرضه کردن، 2. به بازار عرضه کردن، 3. فروخته شدن، فروختن
sälja under bordet|sälja	بطور سیاه فروختن
sälja ut eller sälja undan|sälja	یکجا فروختن، حراج کردن
säljakt|säljakten|säljakter	شکار خوک دریائی
säljare|säljaren|säljarn|säljarna	فروشنده
säljarförmåga|säljarförmågan|säljarförmågor	توان فروشندگی
säljarmonopol|säljarmonopolen|säljarmonopolet	انحصار فروش
säljbar|säljbart	قابل فروش
säljbarhet	قابلیت فروش
säljkurs|säljkursen|säljkurser	نرخ فروش
säljprov|säljproven|säljprovet	نمونه فروش
säljteknik|säljtekniken|säljtekniker	فن فروشندگی
säljägare|säljägaren|säljägarn|säljägarna	شکارچی خوک دریائی
sälkut|sälkutar|sälkuten	نوزاد شیر یا خوک دریائی
säll|sällt	خوشبخت، شادمان
sälla|sällade|sällar|sällat	پیوستن، اظهار همراهی کردن
sällan	بندرت
sälle|sällar|sällen	پسر جوان
sällhet|sällheten	خوشی، سعادت
sällsam|sällsamma|sällsamt	عجیب و غریب، ویژده، خاص، منحصر بفرد
sällsamhet|sällsamheten|sällsamheter	بیگانگی
sällsamheter	چیزهای عجیب و غریب
sällskap|sällskapen|sällskapet	1. همراه، مصاحب، دوست، 2. مهمانی، 3. انجمن، مجمع
sällskapa med ngn|sällskapa	با کسی همنشینی کردن
sällskapa|sällskapade|sällskapar|sällskapat	بهمراه بودن، مصاحبت کردن
sällskapande|sällskapandet	همراهی
sällskaplig|sällskapligt	اجتماعی، معاشرتی، مصاحب، جمعیت دوست، خوش برخورد
sällskaplighet|sällskapligheten	مردم دوستی، معاشرت، مصاحبت
sällskapsdam|sällskapsdamen|sällskapsdamer	زن همنشین (همدم)
sällskapsdjur|sällskapsdjuren|sällskapsdjuret	حیوان خانگی
sällskapshund|sällskapshundar|sällskapshunden	سگ خانگی
sällskapskär	گروه دوست
sällskapslek|sällskapslekar|sällskapsleken	بازی دسته جمعی
sällskapsliv|sällskapsliven|sällskapslivet	زندگی اجتماعی
sällskapsmänniska|sällskapsmänniskan|sällskapsmänniskor	شخص اجتماعی
sällskapsnöje|sällskapsnöjen|sällskapsnöjet	سرگرمی دسته جمعی
sällskapsresa|sällskapsresan|sällskapsresor	سفر دسته جمعی (تور)
sällskapssjuk|sällskapssjukt	مشتاق با هم بودن
sällskapstalang|sällskapstalangen|sällskapstalanger	ذوق اجتماعی بودن
sällspord	کمیاب، نادر
sällsynt|sällsynta	1. بعید، غیر معمول، کمیاب، نادر، دور، 2. مورد استثنایی، استثنایی بودن
sällsynt händelse|händelse|sällsynt	رویداد کم نظیر
sällsynta böcker|sällsynt	کتابهای کمیاب
sällsynthet|sällsyntheten|sällsyntheter	1. کمیابی، 2. حادثه غیر عادی، 3. چیز کمیاب
sälskinn|sälskinnen|sälskinnet	پوست خوک دریائی
sälta|sältan|sältor	شوری، مزه شور
sämja|sämjan	یگانگی، هماهنگی، توافق، سازگاری
sämjas sämjades sämjats|sämjades|sämjas|sämjats	به توافق رسیدن، هماهنگ بودن
sämre	بدتر
sämskskinn|sämskskinnen|sämskskinnet	جیر، پوست بسیار نازک و ظریف
sämst	بدترین
sända fram|sända	روانه کردن، اعزام کردن
sända fram trupper till fronten|sända	نیرو به جبهه اعزام داشتن
sända sänder sände sänt|sända|sände|sänder|sänt	1. فرستادن، ارسال داشتن، مخابره کردن، 2. حمل و نقل کردن، 3. حواله کردن، 4. سخن پراکنی، 5. عبور دادنف منتقل کردن
sända ut|sända	1. بیرون دادن 2. پخش کردن
sändande	پخش، ارسال
sändaramatör|sändaramatören|sändaramatörer	فرستنده رادیوئی غیر حرفه ای
sändaranläggning|sändaranläggningar|sändaranläggningen	ایستگاه رادیوئی
sändare|sändaren|sändarn|sändarna	فرستنده
sändebud|sändebuden|sändebudet	1. سفیر، مامور رسمی، 2. سفیر پاپ، 3. پیامبر، پیام رسان
sändning|sändningar|sändningen	1. ارسال، پخش، مخابره، حمل و نقل، 2. محموله
säng|sängar|sängen	تخت
sängbord|sängborden|sängbordet	میز پا تختی
sängdags	وقت خواب
sängfösare|sängfösaren|sängfösarn|sängfösarna	مشروب قبل از خواب
sänggavel|sänggaveln|sänggavlar	سرو ته تخت
sängkammare|sängkammaren|sängkammarn|sängkammrar|sängkammrarna	اتاق خواب
sängkamrat|sängkamraten|sängkamrater	هم تختی
sängkläder	رختخواب
sängliggande	1. بستری، مریض تختی، 2. شخص بستری
sängliggandet	شخص بستری
sängläge|sängläget	محل خواب
sängplats|sängplatsen|sängplatser	محل خواب
sängrökning|sängrökningen	سیگار کشیدن روی تخت
sängvalsen	وقت خواب
sängväta	در خواب اختیار ادرار خود را نداشتن
sängvätare|sängvätaren|sängvätarn|sängvätarna	کسیکه در خواب ادرار خود را نمیتواند نگهدارد
sängvätning	شب شاشی
sängöverkast|sängöverkasten|sängöverkastet	رو تختی
sänka	1. فرو رفتگی، گودی، 2. رسوب، ته نشینی، 3. نوعی آزمایش خون، 1. کم کردن، کاستن، پائین آوردن، 2. غرق کردن، 3. خود را پست کردن، 4. نشست کردن، فرو رفتن
sänka ett fartyg|sänka	یک کشتی را غرق کردن
sänka farten|sänka	سرعت را کم کردن
sänka ned|sänka	فرو بردن، غوطه ور ساختن
sänka sina anspråk|sänka	از ادعای خود کاستن
sänka sänker sänkte sänkt|sänka|sänker|sänkt|sänkte	1. کم کردن، کاستن، پائین آوردن، 2. غرق کردن، 3. خود را پست کردن، 4. نشست کردن، فرو رفتن
sänkan|sänkor	1. فرو رفتگی، گودی، 2. رسوب، ته نشینی، 3. نوعی آزمایش خون
sänkande	کاهش
sänkbar|sänkbart	تاشو، پائین رو
sänke|sänken|sänket	وزنه بند ماهیگیری
sänklod|sänkloden|sänklodet	1. وزنه شاقول، 2. آلت ژرف پیمائی با وزنه سربی
sänkning|sänkningar|sänkningen	1. کاهش، پائین آمدن، 2. نشست، فرورفتگی، 3. فروبری، غوطه ور سازی، 4. سراشیبی، نشیب
sänkvåg|sänkvågar|sänkvågen	اسبابی جهت تعیین وزن مخصوص
sär	جدا، منحصر، مخصوص، ویژه، دارای اخلاق مخصوص، عجیب
sära med benen|sära	پاها را از هم باز کردن
sära särar särade särat|sära|särade|särar|särat	از هم جدا کردن، از هم باز کردن
särart|särarten	وجود شخص، شخصیت
särartad|särartat	منحصر بفرد، خاص
särbehandling|särbehandlingar|särbehandlingen	بررسی دقیق
särbeskattning|särbeskattningar|särbeskattningen	مالیات بندی انفرادی
särbestämmelser	تصمیمات ویژه
särdeles	1. بینهایت، بغایت، 2. عالی، فوق العاده
särdrag|särdragen|särdraget	صفت ممیزه، نشان ویژه
säregen|säreget|säregna	مخصوص، ویژه، دارای اخلاق مخصوص، عجیب
säregenhet|säregenheten|säregenheter	صفت ویژه، ویژگی
särfall	مورد استثنائی، بندرت
särhålla	تبعیض قائل شدن
särk|särkar|särken	زیر پیراهن زنانه
särklass	کلاس جداگانه جهت کودکان (شاگردان) عقب افتاده
särklassig|särklassigt	عقب افتاده
särla	دیر وقت (در روز)
särlevnad|särlevnaden	زندگی جداگانه
särling|särlingar|särlingen	آدم عجیب
särmärke|särmärken|särmärket	دستینه، امضاء
särprägel|särprägeln	نشان برجسته، ویژگی، وسیله تمایز
särpräglad|särpräglat	مشخص، اختصاصی، برجسته
särskild|särskilda|särskilt	1. جداگانه، جدا، مجزا، 2. ویژه، مخصوص، 3. خاص، منحصر به فرد
särskilda åtgärder|särskild	اقدامات ویژه
särskilde|särskilja|särskiljer|särskilt	1. فرق گذاشتن، تمیز دادن، 2. جدا کردن از
särskiljande|särskiljandet	1. جدا سازی، جدائی، 2. فرق، تشخیص
särskilt	بطور مجزا، جزبه جز، مخصوصا، بویژه
särskola	1. مدرسه جداگانه مخصوص پسران یا دختران، 2. آموزشگاه کودکان عقب افتاده
särskrev|särskriva|särskriver|särskrivit	جدا جدا نوشتن
särställning|särställningar|särställningen	موقعیت مخصوص
särtagbar|särtagbart	(از هم) جدا شدنی
särtryck|särtrycken|särtrycket	چاپ دوم چیزی که از مجله یا نوشته های دیگر گرفته شده باشد
säsong|säsongen|säsonger	1. زمان فعالیت کاری از سال، 2. موسم، فصل
säsongarbetare|säsongarbetaren|säsongarbetarn|säsongarbetarna	کارگر فصلی
säsongarbete|säsongarbeten|säsongarbetet	کار فقط بعضی از فصلهای سال
säsongbetonad|säsongbetonat	فصلی
säsongmässig|säsongmässigt	فصلی، موسمی
säte|säten|sätet	1. نشانی ثبت شده، 2. مقر اصلی، 3. صندلی، جا، نشینمنگاه
säter|sätern|sätrar	کرسی نشین، کلبه ییلاقی
säteri|säterier|säteriet|säterit	باغ اربابی (که پیشتر از مالیات معاف گشته است)
sätesbjudning|sätesbjudningen	، پرزنتاسیون ته: ، نمایش یا نمای ته "درمامائی"
sätt|sättet	1. طریق، شیوه، روش، راه، 2. اخلاق، حرکت، رفتار، 3. وسیله، 4. دور، نوبت، وهله
sätt dig in i min situation|situation	تو خودت را جای من بگذار
sätta 100 kronor på en häst|sätta	روی اسبی 100 کرون شرط بندی کردن
sätta av|sätta	1. پائین گذاشتن 2. کنار گذاشتن، ذخیره کردن
sätta bocken till trädgårdsmästare|sätta|trädgårdsmästare	گوشت را بدست گربه سپردن
sätta bort|sätta	1. کنار گذاشتن 2. در جائی فراموش نشدنی گذاشتن
sätta dit|sätta	1. گیر انداختن 2. کار گذاشتن
sätta efter|sätta	به تعقیب کسی پرداختن
sätta en fälla|sätta	دامی نهادن
sätta fart på|fart|sätta	بکار واداشتن، شتاب کردن، بحرکت در آوردن، زنده کردن
sätta fart på bilen|fart	بسرعت ماشین افزودن
sätta fast|sätta	1. چسباندن، نگهداشتن 2. گیر کردن
sätta friheten högt|sätta	برای آزادی ارزش زیادی قائل شدن
sätta för|sätta	جلو را گرفتن
sätta i brand|sätta	به آتش کشیدن
sätta i förvar|sätta	زندانی کردن، بازداشت کردن
sätta i halsen|sätta	در گلو گیر کردن
sätta i strykklass|strykklass|strykklassen	تیعیض قائل شدن علیه   ...
sätta i system|system	بنظم آوردن
sätta igång|sätta	بکار انداختن، راه انداختن، شروع کردن
sätta mod i ngn|sätta	کسی را تشویق (دلگرم) کردن
sätta märke för|sätta	علامتگذاری کردن روی
sätta ngn i sitt ställe|ställe	جانشین پیدا کردن
sätta ngn ur stånd att arbeta|stånd	کسی را از کار محروم کردن
sätta potatis|sätta	سیب زمینی کاشتن
sätta sig emot|sätta	مخالفت کردن، ضدیت کردن
sätta sig fast|fast	گیر کردن، چسبیدن
sätta sig i fara|sätta	خود را بخطر انداختن
